dow,April,August,December,February,January,July,June,March,May,November,October,September
Monday,2776913.205555556,2935145.50625,2923572.534,2763719.58625,2768891.1333333333,2824467.586666667,2802739.2955555557,3026659.8977777776,2812472.60625,2989840.97125,4865449.4350000005,3003263.274
Tuesday,2782786.491,2969821.59375,3095941.245,2791301.62125,2765436.6500000004,2902262.795,2875877.16,2779014.8275,2914249.37,2952279.385,4058052.338888889,2896994.688888889
Wednesday,2827192.99,2768893.87625,3261739.6655555554,2873806.595,2816991.145,2930093.2,2835594.8600000003,2807312.9375,2892796.3,2893492.1225,3999964.9549999996,2938224.29875
Thursday,2870896.55625,3200505.8877777774,3211732.475,2768385.422222222,2719314.4777777777,3133133.5422222223,3010096.84875,2750900.4275,2815401.846,2942975.59375,4717783.425,2907111.825
Friday,2822327.38125,3094896.7460000003,2976553.68125,2801081.78625,2971821.532222222,2849396.54,2807302.44,3046143.2088888893,2911055.472,2937461.7955555557,4066385.8988888892,2913220.4175
Saturday,3740512.46625,3606157.984,3797844.10875,3656271.62875,3426942.82875,3746904.7025,3564512.418888889,3587806.217,3571799.2277777777,3778195.37,5304584.19625,3667556.1799999997
Sunday,3674542.78125,3634196.814444444,3884047.6011111117,3551991.45125,3763799.6275,3532486.22,3660300.389,3464948.078,3493080.0025,3738270.6466666665,5067954.41125,3531925.5111111114
